Module Name,Course Name,Number of Students Enrolled,Lecturer Name,Room Assigned
2D Graphics and Image Processing,Introduction to Computer Graphics,10,Jinrui Mcgougan,Edna O'Brien Art Studio
3D Modeling and Animation Basics,Introduction to Digital Art,10,Yomna Oleksiak,Brendan Behan Lecture Theatre
3D Modeling and Rendering Techniques,Introduction to Computer Graphics,10,Jinrui Mcgougan,George Bernard Shaw Debate Hall
Accounting Principles and Concepts,Financial Accounting Basics,10,Elessio Kogel,Joyce Seminar Room
Activation Functions and Architectures,Introduction to Artificial Neural Networks,10,Alarick Brodey,Stoker Drama Studio
Aggregate Demand and Supply,Principles of Macroeconomics,10,Avangelina Nykamp,George Bernard Shaw Debate Hall
Aging and Development in Adulthood,Developmental Psychology,10,Daown Bearb,Synge Seminar Hall
Air Pollution Control and Management,Introduction to Environmental Engineering,10,Surayah Bennefeld,Wilde Auditorium
Airline Operations and Management,Introduction to Aviation Management,10,Anaiis Kremin,Roddy Doyle Creative Writing Corner
Airport Management and Planning,Introduction to Aviation Management,10,Yamile Colucci,Colum McCann Conference Room
Algorithm Design and Analysis,Data Structures and Algorithms,10,Jovoni Heiny,Samuel Beckett Experimental Lab
Alternative Energy Sources and Trends,Introduction to Sustainable Energy,10,Caytlynne Ganun,Online
Analysis of Contemporary Novels,Contemporary Literature,10,Heather Imperiale,Frank McCourt Drama Studio
Analytics and Performance Measurement,Social Media Marketing Strategies,10,Akseli Laipple,Banville Biology Lab
Ancient Egypt and Mesopotamia,History of Ancient Civilizations,10,Vishnu Drapcho,Emma Donoghue Drama Studio
Ancient Philosophy: From Plato to Aristotle,Introduction to Philosophy,10,Lelaina Curd,Kavanagh Classroom
Animation and Motion Graphics,Introduction to Computer Graphics,10,Ado Pandy,W.B. Yeats Poetry Room
Anthropological Approaches,Introduction to Cultural Anthropology,10,Kirra Knode,Edna O'Brien Art Studio
Anthropological Perspectives,Introduction to Anthropology,10,Kinberly Korman,Thomas Kinsella Poetry Corner
Applications of Artificial Neural Networks,Introduction to Artificial Neural Networks,10,Jermani Rininger,Clarke Creative Writing Lab
Applications of Biotechnology in Medicine,Introduction to Biotechnology,10,Azriella Bakker,Jennifer Johnston Library Annex
Archaeological Methods and Discoveries,Introduction to Anthropology,10,Kinberly Korman,Jennifer Johnston Library Annex
Archaeological Methods and Techniques,Introduction to Archaeology,10,Sritha Staben,Maeve Binchy Study Center
Arrays and Linked Lists,Data Structures and Algorithms,10,Arabella-Rose Piekos,Eavan Boland Writing Workshop
Artificial Intelligence and Robotics,Introduction to Cybernetics,10,Casian Begel,Brian Friel Theater
Assessment and Evaluation in Education,Introduction to Educational Psychology,10,Alaiya Ghali,Online
Astrophotography Equipment and Setup,Introduction to Astrophotography,10,Julyana Ysais,Paul Durcan Poetry Corner
Atmospheric Composition and Structure,Introduction to Atmospheric Science,10,Bruce Av,Mary Lavin Seminar Hall
Atmospheric Dynamics,Introduction to Atmospheric Science,10,Samir Standingrock,John Banville Art Studio
Audience Analysis and Adaptation,Public Speaking and Communication,10,Vivaan Guarini,Colum McCann Conference Room
Audience Targeting and Engagement,Social Media Marketing Strategies,10,Akseli Laipple,Flann O'Brien Lecture Hall
Aviation Industry Overview and Trends,Introduction to Aviation Management,10,Anaiis Kremin,Eavan Boland Writing Workshop
Aviation Safety and Regulatory Compliance,Introduction to Aviation Management,10,Yamile Colucci,Samuel Beckett Experimental Lab
Backend Development with Node.js,Introduction to Web Development,10,Selene Zirkelbach,Synge Seminar Hall
Basics of Machine Learning Algorithms,Introduction to Machine Learning,10,Dannielle Fixsen,Maeve Binchy Study Center
Behavioral Economics Principles and Concepts,Introduction to Behavioral Economics,10,Sadeem Lipkowitz,Mary Lavin Seminar Hall
Behavioral Insights in Policy and Business,Introduction to Behavioral Economics,10,Khallia Blackmore,Online
Biodiversity Conservation,Global Environmental Issues,10,Kimia Mirzaian,Paul Durcan Poetry Corner
Biological Anthropology,Introduction to Anthropology,10,Heily Dunnahoe,Dermot Healy Study Area
Biomass Energy and Biofuels,Introduction to Renewable Energy,10,Karley-Jayne Mccalmont,Banville Biology Lab
Bioprocessing and Fermentation Technology,Introduction to Biotechnology,10,Maniyah Bohland,Dermot Healy Study Area
Biopsychosocial Model of Health,Introduction to Health Psychology,10,Aksh Vernet,Emma Donoghue Drama Studio
